in Minuten,HCOO- (formate) [mol/L],OH- (hydroxide) [mol/L],CH3OH (methanol) [mol/L],CO32- [mol/L],in Minuten,Cell potential [V],Anode potential [V],I [mA]
28.40006,0.50781,0.46049,1.41705,0.10454,17.36126,5.39371,1.60155,10000
28.49225,0.50969,0.45805,1.41497,0.10508,17.39958,5.39388,1.60376,10000
28.58445,0.51153,0.45564,1.41284,0.10561,17.43791,5.39113,1.60073,10000
28.67665,0.51324,0.45334,1.41054,0.10614,17.47623,5.39604,1.60358,10000
28.76885,0.51494,0.45104,1.40824,0.10666,17.51456,5.39196,1.60099,10000
28.86105,0.51664,0.44874,1.40594,0.10719,17.55288,5.38804,1.60161,10000
28.95325,0.51837,0.44664,1.40368,0.10771,17.59121,5.39112,1.60019,10000
29.04545,0.52011,0.44456,1.40142,0.10822,17.62953,5.38196,1.60042,10000
29.13765,0.52199,0.44231,1.39939,0.10878,17.66786,5.38689,1.59746,10000
29.22985,0.52396,0.43994,1.39749,0.10936,17.70618,5.3937,1.60168,10000
29.32204,0.52592,0.43758,1.39558,0.10993,17.74451,5.38771,1.603,10000
29.41424,0.52798,0.43509,1.39381,0.11051,17.78283,5.38397,1.59936,10000
29.50644,0.53014,0.43246,1.39219,0.11107,17.82116,5.39054,1.59557,10000
29.59864,0.53228,0.4299,1.39045,0.11161,17.85948,5.3876,1.60029,10000
29.69084,0.53438,0.42745,1.3885,0.11212,17.89781,5.38305,1.60136,10000
29.78304,0.53649,0.425,1.38655,0.11263,17.93613,5.38222,1.59592,10000
29.87524,0.53857,0.42256,1.38457,0.11313,17.97446,5.38703,1.59907,10000
29.96744,0.54019,0.42048,1.38203,0.11363,18.01278,5.38379,1.60014,10000
30.05964,0.54182,0.41839,1.37949,0.11414,18.05111,5.39442,1.60351,10000
30.15184,0.54323,0.41617,1.37712,0.11467,18.08943,5.38552,1.60204,10000
30.24403,0.54463,0.41394,1.37476,0.1152,18.12776,5.39426,1.60119,10000
30.33623,0.54603,0.41172,1.37239,0.11574,18.16608,5.39572,1.60047,10000
30.42843,0.54749,0.4093,1.37028,0.11631,18.20441,5.39067,1.59598,10000
30.52063,0.549,0.40675,1.36832,0.11692,18.24273,5.3949,1.60019,10000
30.61283,0.55063,0.40434,1.36627,0.11752,18.28106,5.39049,1.59856,10000
30.70503,0.55235,0.40204,1.36413,0.11813,18.31939,5.39147,1.60219,10000
30.79723,0.55407,0.39975,1.36199,0.11873,18.35771,5.39554,1.60024,10000
30.88943,0.55582,0.39748,1.35988,0.11934,18.39604,5.3909,1.60227,10000
30.98163,0.55769,0.39534,1.35789,0.11992,18.43436,5.38687,1.5997,10000
31.07382,0.55953,0.39315,1.35595,0.1205,18.47269,5.39249,1.59704,10000
31.16602,0.56116,0.39062,1.3545,0.12111,18.51101,5.38589,1.59012,10000
31.25822,0.56279,0.38808,1.35305,0.12172,18.54934,5.39291,1.59282,10000
31.35042,0.56443,0.38554,1.3516,0.12232,18.58766,5.39249,1.59795,10000
31.44262,0.56601,0.3829,1.35007,0.12295,18.62599,5.39632,1.59496,10000
31.53482,0.56758,0.38023,1.3485,0.12358,18.66431,5.39241,1.59002,10000
31.62702,0.56923,0.3778,1.34671,0.1242,18.70264,5.3933,1.59509,10000
31.71922,0.57096,0.37562,1.34467,0.12481,18.74096,5.39503,1.59068,10000
31.81142,0.57269,0.37343,1.34263,0.12542,18.77929,5.39638,1.59609,10000
31.90361,0.57439,0.37131,1.34055,0.12603,18.81761,5.39867,1.59375,10000
31.99581,0.57594,0.36952,1.33825,0.1266,18.85594,5.39649,1.59479,10000
32.08801,0.57748,0.36771,1.33595,0.12718,18.89426,5.39318,1.58744,10000
32.18021,0.579,0.36565,1.33384,0.1278,18.93259,5.39531,1.59383,10000
32.27241,0.58052,0.36359,1.33173,0.12842,18.97091,5.39465,1.58607,10000
32.36461,0.58204,0.36154,1.32962,0.12905,19.00924,5.38075,1.59002,10000
32.45681,0.58381,0.35894,1.32798,0.12976,19.04756,5.39481,1.59128,10000
32.54901,0.5856,0.35629,1.32638,0.13048,19.08589,5.3937,1.59542,10000
32.64121,0.58728,0.3537,1.3245,0.1312,19.12421,5.3916,1.59413,10000
32.73341,0.5889,0.35114,1.32247,0.13192,19.16254,5.39531,1.59259,10000
32.8256,0.59052,0.34858,1.32044,0.13264,19.20086,5.39638,1.5953,10000
32.9178,0.59208,0.34614,1.31846,0.13335,19.23919,5.39175,1.58904,10000
33.01,0.59359,0.34383,1.31652,0.13405,19.27751,5.39923,1.59528,10000
33.1022,0.59507,0.34153,1.31465,0.13475,19.31584,5.39943,1.59438,10000
33.1944,0.59651,0.33925,1.31302,0.13544,19.35416,5.40091,1.59121,10000
33.2866,0.59795,0.33697,1.3114,0.13612,19.39249,5.39449,1.59391,10000
33.3788,0.59938,0.33468,1.30974,0.13681,19.43081,5.39691,1.59489,10000
33.471,0.60077,0.33226,1.30779,0.13752,19.46914,5.3989,1.59679,10000
33.5632,0.60215,0.32985,1.30584,0.13823,19.50746,5.39644,1.59389,10000
33.65539,0.60366,0.32733,1.30414,0.13899,19.54579,5.39664,1.59538,10000
33.74759,0.60519,0.32478,1.3025,0.13975,19.58411,5.39731,1.59499,10000
33.83979,0.60672,0.32224,1.30086,0.14052,19.62244,5.39253,1.59761,10000
33.93199,0.60819,0.3199,1.29918,0.14129,19.66076,5.38788,1.59767,10000
34.02419,0.60964,0.31767,1.29748,0.14206,19.69909,5.38538,1.59681,10000
34.11639,0.61101,0.31552,1.29561,0.14285,19.73741,5.39301,1.59787,10000
34.20859,0.61229,0.3135,1.29347,0.14366,19.77574,5.39049,1.59803,10000
34.30079,0.61357,0.31147,1.29133,0.14447,19.81406,5.38615,1.59231,10000
34.39299,0.61491,0.30937,1.28931,0.14529,19.85239,5.38725,1.59286,10000
34.48518,0.61645,0.30701,1.28766,0.14613,19.89071,5.38499,1.59484,10000
34.57738,0.61799,0.30466,1.28601,0.14697,19.92904,5.38422,1.58271,10000
34.66958,0.61955,0.30217,1.28473,0.14781,19.96736,5.38761,1.58139,10000
34.76178,0.62111,0.29967,1.28346,0.14864,20.00569,5.39043,1.58134,10000
34.85398,0.62267,0.29717,1.28219,0.14948,20.04401,5.39082,1.58091,10000
34.94618,0.62374,0.29499,1.28054,0.15033,20.08234,5.38038,1.57616,10000
35.03838,0.6247,0.29288,1.27879,0.15119,20.12066,5.38758,1.58078,10000
35.13058,0.62553,0.29091,1.27677,0.15209,20.15899,5.38527,1.57722,10000
35.22278,0.62625,0.28904,1.27453,0.15304,20.19731,5.39226,1.57666,10000
35.31498,0.62697,0.28718,1.27229,0.15399,20.23564,5.39247,1.57039,10000
35.40717,0.62791,0.28517,1.27011,0.15496,20.27396,5.3934,1.57355,10000
35.49937,0.6292,0.28294,1.26804,0.15596,20.31229,5.39326,1.57445,10000
35.59157,0.6305,0.28066,1.26601,0.15696,20.35061,5.39375,1.57512,10000
35.68377,0.63189,0.27807,1.26425,0.15799,20.38894,5.38951,1.57486,10000
35.77597,0.63328,0.27547,1.2625,0.15903,20.42726,5.39145,1.57797,10000
35.86817,0.63466,0.27288,1.26074,0.16006,20.46559,5.39123,1.58091,10000
35.96037,0.63552,0.27043,1.25872,0.16112,20.50391,5.38733,1.57982,10000
36.05257,0.63636,0.26798,1.2567,0.16218,20.54224,5.38616,1.57796,10000
36.14477,0.63709,0.26561,1.25489,0.16335,20.58056,5.38349,1.57813,10000
36.23696,0.63778,0.26326,1.25318,0.16456,20.61889,5.38055,1.57401,10000
36.32916,0.63847,0.26092,1.25148,0.16578,20.65721,5.38415,1.57316,10000
36.42136,0.63918,0.25856,1.24992,0.16706,20.69554,5.37887,1.56766,10000
36.51356,0.63991,0.25618,1.24849,0.1684,20.73386,5.37798,1.57089,10000
36.60576,0.64053,0.25381,1.24701,0.16977,20.77219,5.38353,1.57454,10000
36.69796,0.64085,0.25145,1.24538,0.17119,20.81051,5.38912,1.56954,10000
36.79016,0.64118,0.24909,1.24374,0.17261,20.84884,5.38505,1.57144,10000
36.88236,0.6415,0.24673,1.24213,0.17403,20.88717,5.39034,1.5758,10000
36.97456,0.6418,0.24442,1.24066,0.1755,20.92549,5.38448,1.57641,10000
37.06676,0.64211,0.24211,1.2392,0.17697,20.96382,5.38004,1.57348,10000
37.15895,0.64226,0.24001,1.23794,0.1786,21.00214,5.3823,1.57696,10000
37.25115,0.6424,0.23795,1.23672,0.18025,21.04047,5.38308,1.57545,10000
37.34335,0.64253,0.23589,1.2355,0.1819,21.07879,5.3852,1.57296,10000
37.43555,0.6424,0.23374,1.23424,0.18367,21.11712,5.38308,1.57644,10000
37.52775,0.64216,0.23156,1.23295,0.18549,21.15544,5.37988,1.57504,10000
37.61995,0.64177,0.22928,1.23162,0.18738,21.19377,5.38106,1.57534,10000
37.71215,0.64117,0.22688,1.23023,0.18935,21.23209,5.38025,1.57591,10000
37.80435,0.64058,0.22447,1.22883,0.19132,21.27042,5.38761,1.57314,10000
37.89655,0.63993,0.22214,1.2274,0.19333,21.30874,5.38084,1.57376,10000
37.98874,0.63912,0.22002,1.22585,0.19543,21.34707,5.38944,1.57764,10000
38.08094,0.63831,0.2179,1.2243,0.19752,21.38539,5.39053,1.57999,10000
,,,,,21.42372,5.38782,1.5765,10000
,,,,,21.46204,5.38955,1.57805,10000
,,,,,21.50037,5.38636,1.57185,10000
,,,,,21.53869,5.39072,1.5746,10000
,,,,,21.57702,5.3883,1.57517,10000
,,,,,21.61534,5.38825,1.57581,10000
